set_path,component_index,true_label_norm,predicted_label,confidence,reason
SavedFiles/0161_VD_audio_ICA.set,0,eye,eye,0.9220345616340637,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,1,eye,eye,0.9974178075790405,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,2,eye,eye,0.42081373929977417,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,3,brain,brain,0.7199300527572632,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,4,brain,brain,0.9976003170013428,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,5,muscle,muscle,0.9487559795379639,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,6,heart,heart,0.9595974087715149,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,7,muscle,muscle,0.9895251989364624,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,8,eye,eye,0.758998692035675,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,9,eye,eye,0.9522294998168945,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,11,muscle,muscle,0.9099254012107849,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,12,muscle,muscle,0.9196197986602783,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,13,muscle,muscle,0.9761984348297119,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,14,muscle,muscle,0.925047755241394,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,15,eye,eye,0.7738357782363892,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,16,heart,brain,0.5381607413291931,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,17,brain,other_artifact,0.5236828327178955,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,18,eye,eye,0.4523404538631439,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,19,muscle,brain,0.4888152778148651,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,20,muscle,other_artifact,0.7297195196151733,MNE-ICLabel automated classification (no text reasoning available)
SavedFiles/0161_VD_audio_ICA.set,23,muscle,channel_noise,0.6938287019729614,MNE-ICLabel automated classification (no text reasoning available)
